Title,Budget,Gross,IMDb Rating,Metascore,Reviews,Likes,Success/Flop
Black Adam,200000000,393252111,7.08,7.08,5073,400.319,Success
Infinity Pool,4500000,5078400,6.32,6.32,281,316.659,Success
Beau Is Afraid,35000000,10000000,7.073,7.073,322,304.531,Flop
Mummies,12300000,34200000,7.174,7.174,316,329.821,Success
Black Panther: Wakanda Forever,250000000,859102154,7.237,7.237,5008,384.192,Success
Cocaine Bear,32500000,89020092,6.278,6.278,1178,353.305,Success
Transformers: The Last Knight,217000000,605425157,6.062,6.062,5567,250.319,Success
Renfield,65000000,24187819,6.837,6.837,667,289.759,Flop
Winnie the Pooh: Blood and Honey,100000,5200000,5.661,5.661,647,269.239,Success
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,745013115,7.122,7.122,9593,200.445,Success
Sonic the Hedgehog 2,110000000,402656846,7.591,7.591,3997,250.078,Success
The Little Mermaid,40000000,211343479,7.353,7.353,7128,238.849,Success
Avengers: Infinity War,300000000,2052415039,8.26,8.26,27072,278.7,Success
M3GAN,12000000,176830912,7.314,7.314,2775,275.328,Success
Avatar,237000000,2923706026,7.571,7.571,29254,256.966,Success
Plane,25000000,51000000,6.89,6.89,1323,246.476,Success
Doctor Strange in the Multiverse of Madness,200000000,952224986,7.371,7.371,7565,221.998,Success
Fall,3000000,16120263,7.263,7.263,2952,245.953,Success
The Batman,185000000,770945583,7.71,7.71,8083,224.197,Success
Jurassic World Dominion,165000000,1001978080,6.829,6.829,4927,247.168,Success
65,45000000,55000000,6.217,6.217,1234,258.107,Success
Top Gun: Maverick,170000000,1488732821,8.281,8.281,6999,241.497,Success
Thor: Love and Thunder,250000000,760928081,6.559,6.559,6103,208.013,Success
Guardians of the Galaxy Vol. 2,200000000,863756051,7.623,7.623,19923,207.588,Success
Eight Legged Freaks,30000000,45867333,5.741,5.741,1061,231.922,Success
Terrifier 2,250000,15065239,6.888,6.888,1249,227.731,Success
Mafia Mamma,41000000,3902761,6.862,6.862,65,218.611,Flop
Iron Man 2,200000000,623933331,6.835,6.835,19405,213.94,Success
Caligula,17500000,23438120,5.99,5.99,676,177.537,Success
Hacksaw Ridge,40000000,175302354,8.19,8.19,12325,206.274,Success
Minions: The Rise of Gru,85000000,939628210,7.419,7.419,2889,183.88,Success
The Whale,3000000,55101305,8.008,8.008,2479,235.133,Success
Turning Red,190000000,18879922,7.46,7.46,4244,194.395,Flop
Roald Dahl's Matilda the Musical,25000000,13276499,6.805,6.805,582,200.879,Flop
The Woman King,50000000,91000000,7.758,7.758,1557,210.113,Success
Sing 2,85000000,406000000,7.945,7.945,3736,189.387,Success
Love Again,9000000,10000000,6.758,6.758,96,161.018,Success
Stand by Me Doraemon,35000000,83061158,7.3,7.3,440,175.919,Success
Encanto,50000000,253000000,7.637,7.637,8286,132.525,Success
Knock at the Cabin,20000000,54708659,6.385,6.385,1551,216.766,Success
Harry Potter and the Philosopher's Stone,125000000,976475550,7.916,7.916,24884,163.719,Success
The Amazing Maurice,17000000,3901839,6.851,6.851,87,161.379,Flop
The Tomorrow War,200000000,14400000,7.553,7.553,2583,149.129,Flop
Spider-Man,139000000,821708551,7.27,7.27,17228,166.427,Success
Spider-Man: Homecoming,175000000,880166924,7.346,7.346,20113,162.776,Success
Venom: Let There Be Carnage,110000000,506863592,6.857,6.857,8878,155.916,Success
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,15800000,503063688,8.257,8.257,3211,183.618,Success
Harry Potter and the Chamber of Secrets,100000000,876688482,7.724,7.724,19978,148.946,Success
The Amazing Spider-Man 2,200000000,708962323,6.491,6.491,12070,161.335,Success
Iron Man,140000000,585174222,7.634,7.634,24465,167.068,Success
John Wick: Chapter 2,40000000,171539887,7.3,7.3,11665,156.923,Success
Fast & Furious Presents: Hobbs & Shaw,200000000,760098996,6.866,6.866,6442,141.489,Success
Harry Potter and the Goblet of Fire,150000000,895921036,7.817,7.817,18893,146.376,Success
The Amazing Spider-Man,215000000,757930663,6.687,6.687,16064,131.031,Success
Uncharted,120000000,401748820,7.026,7.026,4774,151.005,Success
Me Before You,20000000,207945075,7.917,7.917,11194,109.629,Success
F9,200000000,726229501,7.171,7.171,6446,148.622,Success
John Wick: Chapter 3 - Parabellum,55000000,326709727,7.4,7.4,9364,160.159,Success
After,14000000,69497587,7.144,7.144,7630,139.031,Success
Harry Potter and the Prisoner of Azkaban,130000000,789804554,8.022,8.022,19617,136.755,Success
Furious 7,190000000,1515341399,7.239,7.239,9817,122.389,Success
Harry Potter and the Half-Blood Prince,250000000,933959197,7.7,7.7,17764,129.067,Success
3-D Sex and Zen: Extreme Ecstasy,3500000,10308238,4.9,4.9,97,110.748,Success
Scream,24000000,140041405,6.73,6.73,2486,155.03,Success
Tangled,260000000,592461732,7.591,7.591,10294,143.26,Success
Harry Potter and the Deathly Hallows: Part 2,125000000,1341511219,8.111,8.111,18819,123.312,Success
"Monsters, Inc.",115000000,579707738,7.831,7.831,16853,130.12,Success
Hidden Figures,25000000,235956898,8.059,8.059,8722,115.736,Success
Air,90000000,87078875,7.42,7.42,1015,126.171,Flop
Cruella,200000000,233503234,8.07,8.07,8266,121.08,Success
The Godfather,6000000,245066411,8.71,8.71,18102,142.67,Success
After We Fell,14000000,21500000,7.115,7.115,2197,122.394,Success
The Meg,150000000,530517320,6.219,6.219,6495,127.323,Success
PAW Patrol: The Movie,26000000,144327371,7.4,7.4,1117,94.629,Success
X,10000000,14779858,6.774,6.774,2009,115.642,Success
Transformers,150000000,709709780,6.773,6.773,10213,120.119,Success
Smile,17000000,216135048,6.756,6.756,2112,128.552,Success
Bullet Train,90000000,239268602,7.491,7.491,4352,138.258,Success
The Avengers,220000000,1518815515,7.708,7.708,28727,140.881,Success
Pirates of the Caribbean: On Stranger Tides,379000000,1045713802,6.534,6.534,12901,123.029,Success
Spider-Man: Far From Home,160000000,1131927996,7.455,7.455,14122,138.924,Success
Coraline,60000000,124600000,7.838,7.838,6665,114.41,Success
Shang-Chi and the Legend of the Ten Rings,150000000,432243292,7.604,7.604,8168,120.968,Success
Interstellar,165000000,701729206,8.404,8.404,31628,122.89,Success
Medieval,23000000,4311284,7.154,7.154,382,134.014,Flop
Harry Potter and the Order of the Phoenix,150000000,938212738,7.688,7.688,17821,112.574,Success
Ratatouille,150000000,623726000,7.8,7.8,15354,106.059,Success
The Boogeyman,41900000,39637895,6.305,6.305,87,105.786,Flop
The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,8.399,8.399,22831,108.865,Success
Jeepers Creepers: Reborn,5000000,5954938,5.667,5.667,798,125.017,Success
"Lyle, Lyle, Crocodile",50000000,104088441,7.312,7.312,425,120.769,Success
Split,9000000,278454358,7.334,7.334,16057,101.427,Success
The Shawshank Redemption,25000000,28341469,8.703,8.703,23967,145.293,Success
The Lion King,45000000,763455561,8.257,8.257,16621,119.096,Success
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,7.787,7.787,18855,105.564,Success
Fifty Shades of Grey,40000000,571006128,5.883,5.883,10957,114.516,Success
A Man Called Otto,50000000,108961677,7.891,7.891,1337,125.764,Success
The Fate of the Furious,250000000,1236005118,6.892,6.892,9541,111.317,Success
Shrek,60000000,487853320,7.724,7.724,15440,117.285,Success
Violent Night,20000000,75734910,7.524,7.524,1468,137.004,Success
Big George Foreman,32000000,3800000,7.929,7.929,56,100.415,Flop
Harry Potter and the Deathly Hallows: Part 1,250000000,954305868,7.768,7.768,17443,104.862,Success
Titanic,200000000,2264162353,7.892,7.892,23014,123.836,Success
Strange World,180000000,73621640,6.463,6.463,985,110.452,Flop
Fifty Shades Freed,55000000,368307760,6.701,6.701,7392,108.572,Success
DC League of Super-Pets,90000000,203000000,7.4,7.4,1263,127.797,Success
Luca,200000000,49750471,7.878,7.878,7348,117.407,Flop
Avengers: Endgame,356000000,2794731755,8.266,8.266,23319,119.626,Success
The Suicide Squad,185000000,168717425,7.576,7.576,7390,124.484,Flop
Fantastic Beasts: The Secrets of Dumbledore,200000000,406950844,6.745,6.745,3600,128.869,Success
Insidious,1500000,99870886,6.939,6.939,6065,95.789,Success
Pirates of the Caribbean: At World's End,300000000,961000000,7.24,7.24,13089,104.128,Success
Toy Story,30000000,394400000,8.0,8.0,16785,108.952,Success
Raiders of the Lost Ark,18000000,389925971,7.921,7.921,11067,94.535,Success
Iron Man 3,200000000,1215577205,6.926,6.926,20723,98.586,Success
Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,7.343,7.343,14585,95.74,Success
Spider-Man 3,258000000,894983373,6.4,6.4,12783,115.627,Success
The Maze Runner,34000000,348319861,7.172,7.172,15649,102.045,Success
Batman v Superman: Dawn of Justice,250000000,873637528,5.947,5.947,16827,92.782,Success
Godzilla vs. Kong,200000000,470116094,7.678,7.678,8889,100.686,Success
Coco,175000000,800526015,8.224,8.224,17301,112.199,Success
Ice Age,59000000,383257136,7.346,7.346,12066,111.815,Success
Baby Face,187000,451000,7.2,7.2,95,66.371,Success
The Black Phone,17000000,161440742,7.743,7.743,3929,98.432,Success
Big Hero 6,165000000,657827828,7.738,7.738,14498,108.141,Success
Don't Worry Darling,35000000,86669039,6.839,6.839,1685,84.153,Success
Inside Out,175000000,857611174,7.92,7.92,19105,102.426,Success
Devotion,90000000,20000000,7.232,7.232,513,100.385,Flop
The Dark Knight,185000000,1004558444,8.509,8.509,29890,101.341,Success
Morbius,75000000,167500000,6.15,6.15,3497,92.265,Success
The Wolf of Wall Street,100000000,392000000,8.036,8.036,21721,92.547,Success
Pride & Prejudice,28000000,121616555,8.083,8.083,7170,86.95,Success
The Lost City,74000000,192907684,6.626,6.626,2805,106.817,Success
Glass Onion: A Knives Out Mystery,40000000,13280000,7.074,7.074,4196,104.889,Flop
Moonfall,146000000,67295363,6.379,6.379,2484,104.92,Flop
Bumblebee,135000000,467989645,6.725,6.725,5496,92.836,Success
Finding Nemo,94000000,940335536,7.822,7.822,17748,102.954,Success
Avengers: Age of Ultron,365000000,1405403694,7.279,7.279,21401,95.504,Success
Babylon,78000000,56351455,7.492,7.492,1829,89.8,Flop
Lightyear,200000000,226425420,7.09,7.09,2890,89.838,Success
Free Guy,110000000,331526598,7.557,7.557,7290,89.147,Success
The Boss Baby: Family Business,82000000,146745280,7.456,7.456,2215,97.681,Success
Guardians of the Galaxy,170000000,772776600,7.903,7.903,26186,88.301,Success
Up,175000000,735099082,7.945,7.945,18502,93.413,Success
Venom,116000000,856085151,6.828,6.828,14451,93.669,Success
John Wick,20000000,88761661,7.4,7.4,17520,99.569,Success
The Conjuring: The Devil Made Me Do It,39000000,206431050,7.521,7.521,5137,86.611,Success
Deadpool,58000000,783100000,7.604,7.604,28476,95.965,Success
Shrek 2,150000000,928760770,7.237,7.237,11077,85.957,Success
Shutter Island,80000000,294800000,8.197,8.197,21821,88.407,Success
Cars 3,175000000,383925276,6.857,6.857,5116,88.281,Success
Glass,20000000,246941965,6.677,6.677,7628,88.178,Success
Sonic the Hedgehog,85000000,319715683,7.351,7.351,8737,92.264,Success
Dune,165000000,402027830,7.799,7.799,8980,95.734,Success
The Lord of the Rings: The Return of the King,94000000,1118888979,8.477,8.477,21728,89.302,Success
Operation Fortune: Ruse de Guerre,50000000,37846713,6.616,6.616,844,97.423,Flop
Book Club: The Next Chapter,35000000,20000000,6.891,6.891,55,99.103,Flop
Mulan,90000000,304320254,7.916,7.916,8728,89.272,Success
Star Wars,11000000,775398007,8.203,8.203,18760,91.95,Success
White Chicks,37000000,113086475,6.9,6.9,3367,79.432,Success
Kingsman: The Golden Circle,104000000,410902662,6.977,6.977,9353,72.016,Success
The Hobbit: The Battle of the Five Armies,250000000,956019788,7.312,7.312,13051,91.017,Success
Mortal Kombat,20000000,84426031,7.089,7.089,5277,64.592,Success
Shrek the Third,160000000,813367380,6.286,6.286,8132,79.14,Success
Meet Joe Black,90000000,142940100,7.286,7.286,4472,109.539,Success
Fury,68000000,211817906,7.515,7.515,10802,94.482,Success
RRR,69000000,160000000,7.839,7.839,971,99.688,Success
Where the Crawdads Sing,24000000,127000000,7.593,7.593,1163,81.497,Success
The Call of the Wild,109000000,111202881,7.569,7.569,3288,102.814,Success
The Lord of the Rings: The Two Towers,79000000,926287400,8.381,8.381,19852,76.748,Success
Frozen II,150000000,1450026933,7.275,7.275,8898,86.232,Success
Black Widow,200000000,379751131,7.329,7.329,9010,85.192,Success
The Green Mile,60000000,286801374,8.51,8.51,15510,74.024,Success
The Conjuring,13000000,320406242,7.54,7.54,10425,102.599,Success
Everything Everywhere All at Once,25000000,139200000,7.834,7.834,4791,95.084,Success
Terminator Genisys,155000000,440603537,5.919,5.919,7707,84.391,Success
Red Notice,160000000,178143,6.8,6.8,4929,90.151,Flop
The Croods: A New Age,65000000,215905815,7.513,7.513,3368,91.385,Success
Thor,150000000,449326618,6.768,6.768,19713,106.106,Success
The Bad Guys,80000000,250162278,7.7,7.7,1537,91.191,Success
Piggy,2400000,380512,6.701,6.701,391,91.678,Flop
Real Steel,110000000,299268508,6.971,6.971,7364,79.65,Success
The Lion King,260000000,1663075401,7.127,7.127,9149,97.208,Success
Cinderella,2900000,263591415,7.036,7.036,6107,78.495,Success
Law Abiding Citizen,53000000,127944208,7.363,7.363,4512,78.543,Success
Wrath of Man,40000000,103966489,7.674,7.674,4463,94.71,Success
Charlie and the Chocolate Factory,150000000,474968763,7.039,7.039,13677,83.081,Success
Beauty and the Beast,25000000,424967620,7.73,7.73,9063,77.044,Success
Eternals,200000000,402064899,6.955,6.955,7216,98.155,Success
Inception,160000000,825532764,8.362,8.362,33852,81.348,Success
The Princess and the Frog,105000000,270997378,7.194,7.194,4937,95.278,Success
The Hunger Games: Mockingjay - Part 1,125000000,755356711,6.801,6.801,14476,76.476,Success
Creed,37000000,173567581,7.409,7.409,6771,77.139,Success
Madagascar,75000000,542063846,6.887,6.887,9903,81.128,Success
Blended,40000000,127994610,6.853,6.853,3115,102.156,Success
The Northman,70000000,69633110,7.106,7.106,3424,98.319,Flop
Magic Mike's Last Dance,45000000,52000000,7.0,7.0,287,81.285,Success
Thor: Ragnarok,180000000,855301806,7.596,7.596,19212,87.637,Success
Toy Story 2,90000000,497366869,7.586,7.586,12627,101.185,Success
The Emperor's New Groove,100000000,169327687,7.549,7.549,5954,101.09,Success
Shazam!,80000000,366080049,7.04,7.04,8639,71.257,Success
Raya and the Last Dragon,100000000,130423032,7.911,7.911,6082,93.215,Success
Blade Runner 2049,150000000,259239658,7.535,7.535,11957,87.284,Success
Pearl,1000000,9423445,7.378,7.378,777,80.504,Success
Teenage Mutant Ninja Turtles,125000000,485004754,5.899,5.899,6263,84.961,Success
The Help,25000000,216639112,8.2,8.2,7336,82.353,Success
The Matrix Resurrections,190000000,156497322,6.518,6.518,4805,85.581,Flop
Resident Evil: Welcome to Raccoon City,40000000,38600612,6.053,6.053,2085,87.578,Flop
Spirited Away,19000000,274925095,8.54,8.54,14432,89.922,Success
Man of Steel,225000000,668045518,6.608,6.608,14059,74.958,Success
Inglourious Basterds,70000000,321457747,8.215,8.215,20311,78.093,Success
World War Z,200000000,531865000,6.805,6.805,14138,82.186,Success
Frozen,150000000,1274219009,7.245,7.245,15244,71.669,Success
Memory,30000000,11300000,6.925,6.925,1228,83.952,Flop
Joker,55000000,1074458282,8.17,8.17,22875,83.514,Success
Hercules,85000000,252712101,7.5,7.5,6662,82.625,Success
Ice Age: Dawn of the Dinosaurs,90000000,886686817,6.726,6.726,7512,70.401,Success
Soul,150000000,136384442,8.155,8.155,9208,91.919,Flop
Catch Me If You Can,52000000,352114312,7.967,7.967,14006,67.847,Success
Pixels,88000000,244874809,5.713,5.713,6921,73.563,Success
The SpongeBob Movie: Sponge on the Run,60000000,4700000,7.5,7.5,2662,74.389,Flop
Clifford the Big Red Dog,64000000,107347356,7.237,7.237,1574,83.852,Success
Terminator 2: Judgment Day,102000000,520000000,8.099,8.099,11420,73.953,Success
Back to the Future,19000000,381109762,8.313,8.313,18047,69.349,Success
Twilight,37000000,393616788,6.292,6.292,12448,81.907,Success
A Bronx Tale,10000000,17287898,7.839,7.839,2051,96.165,Success
Batman,35000000,411348924,7.212,7.212,6954,68.683,Success
It Chapter Two,79000000,473122525,6.864,6.864,7790,80.099,Success
Ghostbusters: Afterlife,75000000,191000000,7.492,7.492,3681,79.536,Success
Pretty Woman,14000000,463406268,7.446,7.446,7193,91.198,Success
Grown Ups 2,80000000,247022278,6.107,6.107,3824,95.379,Success
Pacific Rim,180000000,411002906,6.87,6.87,11354,80.313,Success
Doctor Sleep,45000000,72381712,7.148,7.148,3831,86.265,Success
Saving Private Ryan,70000000,481840909,8.21,8.21,14298,67.901,Success
Howl's Moving Castle,24000000,236049757,8.403,8.403,8374,89.286,Success
Grown Ups,80000000,271430189,6.355,6.355,5437,82.069,Success
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,795922298,6.646,6.646,10974,74.569,Success
Captain America: Civil War,250000000,1153337496,7.44,7.44,21208,78.359,Success
Aladdin,28000000,504050219,7.644,7.644,10354,72.471,Success
Kung Fu Panda,130000000,631744560,7.23,7.23,10274,73.871,Success
Snow White and the Seven Dwarfs,1488423,184925486,7.115,7.115,6704,72.802,Success
Brave,185000000,538983207,7.01,7.01,12385,81.804,Success
Creed II,50000000,214215889,7.005,7.005,4864,85.755,Success
G.I. Joe: The Rise of Cobra,175000000,302469017,5.766,5.766,4219,67.066,Success
Mad Max: Fury Road,150000000,378858340,7.576,7.576,20612,76.112,Success
Deadpool 2,110000000,785896609,7.492,7.492,15995,80.456,Success
Doctor Strange,180000000,676343174,7.425,7.425,20575,81.626,Success
Top Gun,15000000,356830601,7.036,7.036,7428,86.901,Success
The Equalizer,55000000,192330738,7.241,7.241,7881,78.752,Success
12 Years a Slave,20000000,187000000,7.948,7.948,10417,58.245,Success
The Matrix,63000000,463517383,8.204,8.204,23338,90.946,Success
The Parent Trap,15000000,92108518,7.159,7.159,3687,73.083,Success
Cars 2,200000000,559852396,6.065,6.065,6939,74.527,Success
The Hangover,35000000,469310836,7.31,7.31,15528,79.82,Success
Zootopia,150000000,1023784195,7.747,7.747,14959,67.213,Success
Scary Movie,19000000,278019771,6.328,6.328,6195,78.252,Success
Emergency Declaration,18052672,19200000,7.717,7.717,244,80.505,Success
Space Jam: A New Legacy,161900000,162892228,6.9,6.9,3632,83.051,Success
Hunter Killer,40000000,31672678,6.851,6.851,1897,53.764,Flop
The Godfather Part II,13000000,102600000,8.594,8.594,10926,78.928,Success
Sing,75000000,634151679,7.112,7.112,7326,78.665,Success
Justice League,300000000,657926987,6.103,6.103,12076,80.76,Success
Cinderella,95000000,543514353,6.801,6.801,6575,69.868,Success
The Conjuring 2,40000000,321834351,7.288,7.288,7558,66.697,Success
Little Man,64000000,101595121,5.9,5.9,1502,64.043,Success
The King's Man,100000000,125928656,6.815,6.815,3764,89.144,Success
Incredibles 2,200000000,1242805359,7.481,7.481,11838,68.506,Success
Emily the Criminal,2000000,2157673,6.837,6.837,529,78.456,Success
Chernobyl: Abyss,9100000,6459306,6.175,6.175,432,63.624,Flop
Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,5.981,5.981,7321,50.697,Success
The Exorcist,12000000,441405644,7.7,7.7,7021,62.598,Success
Despicable Me 2,76000000,970761885,6.915,6.915,10369,63.886,Success
Lionheart,6000000,24271196,6.529,6.529,893,54.832,Success
Jungle Cruise,200000000,220889446,7.437,7.437,5033,80.745,Success
The Nun,22000000,365582797,5.848,5.848,5755,68.322,Success
Battleship,209000000,303025485,5.802,5.802,5026,59.004,Success
Mission: Impossible,80000000,457731198,6.96,6.96,7762,67.343,Success
Transformers: Revenge of the Fallen,200000000,836303693,6.165,6.165,7738,66.188,Success
Toy Story 3,200000000,1066969703,7.79,7.79,13513,69.204,Success
Triangle of Sadness,15600000,24733572,7.185,7.185,1407,65.251,Success
The Wizard of Oz,2777000,33754967,7.578,7.578,4988,54.729,Success
Alice in Wonderland,200000000,1025467110,6.625,6.625,12944,57.546,Success
The Lorax,70000000,348840316,6.476,6.476,3061,67.481,Success
The Hobbit: An Unexpected Journey,250000000,1021103568,7.336,7.336,17102,78.545,Success
Snake Eyes: G.I. Joe Origins,88000000,36964325,6.572,6.572,1341,61.241,Flop
Ready Player One,175000000,607274134,7.611,7.611,14132,66.833,Success
Forrest Gump,55000000,677387716,8.479,8.479,24807,78.018,Success
The Nightmare Before Christmas,24000000,75634409,7.838,7.838,8300,61.394,Success
Dog,20000000,77263354,7.356,7.356,1218,78.325,Success
2012,200000000,791217826,5.8,5.8,11131,60.332,Success
I Am Legend,150000000,585410052,7.2,7.2,14418,67.901,Success
The Great Wall,150000000,331957105,6.007,6.007,4653,79.044,Success
Edward Scissorhands,20000000,53000000,7.716,7.716,11823,84.277,Success
San Andreas,110000000,473990832,6.2,6.2,7682,60.144,Success
Fight Club,63000000,100853753,8.4,8.4,26608,74.369,Success
Corpse Bride,40000000,118133252,7.517,7.517,8018,68.91,Success
Blade,45000000,131183530,6.754,6.754,5315,50.501,Success
Django Unchained,100000000,425368238,8.166,8.166,24206,65.444,Success
The Mummy,80000000,415885488,6.9,6.9,8142,82.57,Success
Pulp Fiction,8000000,214179088,8.49,8.49,25316,82.462,Success
Parasite,11363000,257591776,8.515,8.515,15888,66.773,Success
Maleficent,180000000,758539785,7.091,7.091,12308,72.063,Success
Ice Age: The Meltdown,80000000,660998756,6.684,6.684,8923,68.139,Success
Kingsman: The Secret Service,81000000,414351546,7.636,7.636,15408,74.785,Success
Thor: The Dark World,170000000,644783140,6.543,6.543,16084,63.896,Success
Shrek Forever After,165000000,752600867,6.341,6.341,6587,73.284,Success
Titane,6600000,5115725,6.431,6.431,1138,58.856,Flop
Jurassic World,150000000,1671537444,6.681,6.681,19140,82.856,Success
A Quiet Place Part II,61000000,297400000,7.518,7.518,5438,82.841,Success
No Time to Die,250000000,774153007,7.42,7.42,5298,78.554,Success
Wonder Woman,149000000,822854286,7.239,7.239,18695,62.556,Success
The Dark Knight Rises,250000000,1081041287,7.777,7.777,20925,70.447,Success
Spirit: Stallion of the Cimarron,80000000,122563539,7.693,7.693,4152,74.567,Success
Dragon Ball Z: Resurrection 'F',5000000,61768190,6.814,6.814,1661,69.72,Success
Let's Be Cops,17000000,136621271,6.465,6.465,2545,59.988,Success
Wonder Woman 1984,200000000,169601036,6.489,6.489,7647,65.341,Flop
The Twilight Saga: Eclipse,68000000,698491347,6.218,6.218,8099,64.365,Success
The Terminator,6400000,78371200,7.642,7.642,11562,71.511,Success
Penguins of Madagascar,132000000,373552094,6.514,6.514,3727,63.872,Success
Transformers: Dark of the Moon,195000000,1123794079,6.18,6.18,7565,63.217,Success
Alien,11000000,104931801,8.144,8.144,12896,56.612,Success
Nobody,17000000,61779301,8.04,8.04,5938,73.277,Success
Teen Wolf,1200000,80000000,6.177,6.177,987,48.604,Success
The Imitation Game,14000000,233555708,8.009,8.009,15678,64.341,Success
Predator,15000000,98267558,7.492,7.492,7042,69.343,Success
Superman,55000000,300218018,7.1,7.1,3354,57.179,Success
Taken 3,48000000,325771424,6.229,6.229,5242,63.516,Success
The Evil Dead,350000,29612367,7.313,7.313,3452,59.96,Success
Old,18000000,90146510,6.411,6.411,3660,61.359,Success
Ben-Hur,15000000,164000000,7.856,7.856,2382,56.836,Success
Ted 2,68000000,215863606,6.3,6.3,6746,78.884,Success
The Incredibles,92000000,631442092,7.702,7.702,16306,69.427,Success
"The Good, the Bad and the Ugly",1200000,25253888,8.477,8.477,7463,63.011,Success
The Hobbit: The Desolation of Smaug,250000000,958400000,7.572,7.572,12037,56.659,Success
Scarface,25000000,66023329,8.164,8.164,10427,60.152,Success
Ponyo,41677699,202404009,7.738,7.738,3646,63.813,Success
Maleficent: Mistress of Evil,185000000,491730089,7.335,7.335,5563,64.972,Success
The Invitation,10000000,33628000,6.286,6.286,550,67.913,Success
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),75000000,205372791,6.969,6.969,9468,60.409,Success
Despicable Me,69000000,533679475,7.224,7.224,13966,59.638,Success
WALL·E,180000000,521311860,8.075,8.075,17097,64.432,Success
The Twilight Saga: Breaking Dawn - Part 2,120000000,829747654,6.472,6.472,8232,59.032,Success
Fantastic Beasts and Where to Find Them,180000000,809342332,7.337,7.337,17676,55.082,Success
The Fifth Element,90000000,263920180,7.525,7.525,9727,71.257,Success
Percy Jackson & the Olympians: The Lightning Thief,95000000,226497209,6.207,6.207,6844,62.047,Success
The Incredible Hulk,150000000,163712074,6.203,6.203,10767,62.546,Success
Rocky,1000000,117250402,7.8,7.8,6920,55.483,Success
G.I. Joe: Retaliation,130000000,371876278,5.597,5.597,5123,55.451,Success
Mission: Impossible - Fallout,178000000,791657398,7.402,7.402,7218,64.0,Success
The Last Warrior: Root of Evil,8400000,27658331,6.9,6.9,129,74.804,Success
Beauty and the Beast,160000000,1266115964,6.966,6.966,14712,60.84,Success
Constantine,100000000,230884728,7.047,7.047,6340,59.596,Success
Angel Has Fallen,40000000,146661977,6.561,6.561,3069,54.95,Success
American Sniper,58800000,542307423,7.432,7.432,11891,76.884,Success
The Jungle Book,4000000,205843612,7.276,7.276,5706,60.432,Success
The Last: Naruto the Movie,903852,19840000,7.7,7.7,1677,63.484,Success
In Time,40000000,173930596,6.952,6.952,10318,54.851,Success
Project X,12000000,102731865,6.82,6.82,5678,63.675,Success
The Good Dinosaur,175000000,332207671,6.747,6.747,5032,53.215,Success
Indiana Jones and the Last Crusade,48000000,474171806,7.841,7.841,8946,59.903,Success
Gifted,7000000,40343446,8.05,8.05,4848,72.907,Success
Tarzan,130000000,448191819,7.401,7.401,6104,68.084,Success
Godzilla,160000000,529076069,6.279,6.279,8211,72.724,Success
